FID,CODE,THEME,PAYS,IDUU,Shape_Le_1,Shape_Area,NOM,SUM_SUPERF,Shape_Leng,latitude,longitude,map_format
109,42000120,LA,SN, c06bfe79-2c07-4395-8786-fd129464bef,127821.729929,898622389.7,Koki,898.6223897,127821.729929,15.499093872203046,-15.955840632751196,"15.499093872203046, -15.955840632751196"
110,4200012,LA,SN, 5d98c7bb-4991-4793-a9fc-72206dbc452,167733.204578,1198402930.23,Sakal,1198.40293023,167733.204578,15.775502541023569,-16.306781766839617,"15.775502541023569, -16.306781766839617"
111,4100012,LA,SN, 3d7f2903-7041-4a59-8ccd-985b7c37d6c,592969.428185,5701786032.0,Bandafassi,5701.786032,592969.428185,12.814671914427025,-12.539562665645352,"12.814671914427025, -12.539562665645352"
112,4200012,LA,SN, c32d4a20-f49d-4547-bb28-0bf152c5042,202911.748855,1378387000.15,Diendé,1378.38700015,202911.748855,12.884348460690115,-15.426316954244797,"12.884348460690115, -15.426316954244797"
113,4200012,LA,SN, bb6dd812-9b10-4447-be18-a106208f1e9,33977.2040098,19004577.3973,Grand Dakar,19.0045775389,33977.2040098,14.714724898904556,-17.440122430313373,"14.714724898904556, -17.440122430313373"
114,4200012,LA,SN, 3565dff6-e9d0-498c-abbe-4a5d7532d1f,34711.3020339,30085438.8103,Almadies,30.0854388063,34711.3020339,14.736149793988293,-17.485352273405404,"14.736149793988293, -17.485352273405404"
115,4200012,LA,SN, c85c0b99-808c-48d6-91bc-1db97d9dbbf,19878.6319631,14986987.4867,Parcelles Assainies,14.9869873732,19878.6319631,14.74823967994035,-17.445854778821534,"14.74823967994035, -17.445854778821534"
116,4200012,LA,SN, 5e546726-0520-4e6c-a993-a5daa547b54,22683.0026364,13155361.2314,Guédiawaye,13.1553612699,22683.0026364,14.776017283006055,-17.393824574900854,"14.776017283006055, -17.393824574900854"
117,4200012,LA,SN, 0b6fb10a-e2b4-41e5-8c17-d044c793729,19406.4731505,14781354.1056,Pikine Dagoudane,14.78135419,19406.4731505,14.753425602819506,-17.40030194533505,"14.753425602819506, -17.40030194533505"
118,42000120,LA,SN, bc41b6e8-e51a-44e7-b091-cc5ce4dae43,29593.9986787,31278709.7286,Thiaroye,31.2787098206,29593.9986787,14.74824144585871,-17.33757769034073,"14.74824144585871, -17.33757769034073"
119,4200012,LA,SN, dc72b25c-96a0-42f4-acd1-670568251fc,29902.3654854,40507984.6696,Niayes,40.5079846855,29902.3654854,14.786713238219932,-17.326799942386888,"14.786713238219932, -17.326799942386888"
120,4200012,LA,SN, c4469fb5-50be-44e5-adac-5ccbb1b88fa,23257.5367277,24980783.144,Rufisque-Est,24.9807831521,23257.5367277,14.726187981727414,-17.271403835710235,"14.726187981727414, -17.271403835710235"
121,4100012,LA,SN, 7c0e3170-10a2-4d27-965a-d815d929463,86431.6807439,331847421.979,Sangalkam,331.84742179,86431.6807439,14.7616714884893,-17.200152419098618,"14.7616714884893, -17.200152419098618"
122,4200012,LA,SN, 4bc86a15-3eb5-465c-8894-6714b4eafdf,36040.0467822,14859608.2034,Dakar Plateau,14.8596081861,36040.0467822,14.681100034123883,-17.449338949465353,"14.681100034123883, -17.449338949465353"
